,No category,M/M,Gen,F/M,Multi,F/F,Other
work_2080878,True,False,False,False,False,False,False
work_10057010,False,True,False,False,False,False,False
work_28755084,False,False,True,False,False,False,False
work_8337607,False,False,True,False,False,False,False
work_5096105,False,True,False,False,False,False,False
work_5457191,False,False,False,True,False,False,False
work_10998828,False,True,False,False,False,False,False
work_234222,False,True,False,False,False,False,False
work_22080895,False,True,True,True,False,False,False
work_14446512,False,False,True,False,True,False,False
work_23529571,False,False,True,False,False,False,False
work_33489424,False,False,True,False,False,False,False
work_29230860,False,False,True,False,False,False,False
work_522776,False,True,False,False,False,False,False
work_13777626,False,True,False,False,False,False,False
work_21116591,False,False,True,False,False,False,False
work_7841764,False,True,False,False,False,False,False
work_14454174,False,False,False,True,False,False,False
work_304382,False,True,False,False,False,False,False
work_3101099,False,True,False,False,False,False,False
work_822737,False,True,False,False,False,False,False
work_10795731,False,True,False,False,False,False,False
work_12006417,False,True,True,False,False,False,False
work_2734082,False,True,False,False,False,False,False
work_24280306,False,False,False,False,False,True,False
work_4371455,False,True,False,False,False,False,False
work_537876,False,True,False,True,False,False,False
work_7331278,False,True,False,False,False,False,False
work_16023554,False,False,True,False,False,False,True
work_485218,False,True,False,False,False,False,False
work_25069339,False,False,True,True,False,False,False
work_20049589,False,True,False,False,False,False,False
work_10920276,False,True,False,False,False,False,False
work_5293532,False,True,False,False,False,False,False
work_39331002,False,True,False,False,False,False,False
work_1488142,False,True,False,False,False,False,False
work_3171550,False,False,False,False,True,False,False
work_1227880,False,True,False,False,False,False,False
work_1651109,True,False,False,False,False,False,False
work_8163464,False,True,False,False,False,False,False
work_3346724,False,True,False,False,False,False,False
work_22055713,False,True,True,True,False,False,False
work_11193654,False,True,False,False,False,False,False
work_5367389,False,True,False,False,False,False,False
work_15087428,False,True,False,False,False,False,False
work_1439476,False,True,False,False,False,False,False
work_7332586,False,True,False,False,False,False,False
work_15153092,False,False,False,True,False,False,False
work_16138103,False,True,False,False,False,False,False
work_5684710,False,True,False,False,False,False,False
work_36682660,True,False,False,False,False,False,False
work_399194,False,True,False,False,False,False,False
work_22230682,False,True,False,False,False,False,False
work_6614155,False,True,False,False,False,False,False
work_9121246,False,True,False,False,False,False,False
work_454948,False,True,False,False,False,False,False
work_4701869,False,False,True,False,False,False,False
work_28045056,False,False,True,False,False,False,False
work_8738770,False,True,False,False,False,False,False
work_4232937,False,False,True,False,False,False,False
work_1319809,False,True,False,False,False,False,False
work_13253055,False,False,True,False,False,False,False
work_593514,False,True,False,True,True,False,False
work_16122836,False,True,False,False,False,False,False
work_29870343,False,True,False,False,False,False,False
work_1867683,False,True,False,False,False,False,False
work_3178065,False,True,False,False,False,False,False
work_16635728,False,True,False,False,False,False,False
work_7548181,False,True,False,False,False,False,False
work_522549,False,True,False,False,False,False,False
work_19055863,False,True,False,False,False,False,False
work_8748484,False,True,False,False,False,False,False
work_21796579,False,False,False,True,False,False,False
work_9500051,False,True,False,False,False,False,False
work_11066478,False,True,False,False,False,False,False
work_411599,False,True,False,False,False,False,False
work_1704125,False,True,False,False,False,False,False
work_31896778,False,False,True,False,False,False,False
work_16052816,False,True,False,False,False,False,False
work_787368,False,True,False,False,False,False,False
work_12792258,False,True,False,True,False,False,False
work_10404927,False,True,False,True,False,False,False
work_7568518,False,False,False,True,False,False,False
work_639852,False,True,False,False,False,False,False
work_3195734,False,True,False,False,False,False,False
work_8211566,False,True,False,True,True,True,False
work_32039665,False,False,True,False,False,False,False
work_900839,False,True,False,True,False,False,False
work_752428,False,True,False,False,False,False,False
work_862320,False,True,True,False,False,False,False
work_538425,False,True,False,False,False,False,False
work_3831403,False,False,True,False,False,False,False
work_34743979,False,False,True,False,False,False,False
work_4433063,False,True,False,False,False,False,False
work_15046934,False,False,True,False,False,False,False
work_8416441,False,True,False,False,False,False,False
work_28237845,False,False,True,False,False,False,False
work_3301085,False,True,False,False,False,False,False
work_22114921,False,True,False,False,False,False,False
work_12968454,False,True,False,False,False,False,False
